address,message_count,project_count,oaps_count,active_day_count,first_date,last_date,total_swapped_usd,swap_count,average_swapped_usd
0x4cb9199df22d3084270aaa73f7674cb7f20af586,79,6,15,40,2023-07-19,2024-04-14,12796.012749682995,67,190.98526492064173
0x128b664ecd39ede0cb446ab754b761a70ce07bd0,76,6,14,42,2023-07-21,2024-04-09,12438.822581677003,63,197.44162828058734
0x17090f11498f205a7d376965f7a1010f255ca68b,73,6,16,40,2023-07-21,2024-04-08,12376.677229900999,60,206.2779538316833
0xc64770f92b5b6e27e44e5175c91839b758a10ade,79,6,15,39,2023-07-19,2024-04-14,12915.453643210001,66,195.6886915637879
0x217ce7c40b30284ed664033733102b80a0eb0346,80,6,14,40,2023-07-19,2024-04-14,12856.251848821998,68,189.0625271885588
0xf8dbe0a81060de854ebb88a19fa8e1b467d24477,77,5,15,41,2023-07-21,2024-04-10,12821.643658990997,64,200.33818217173433
0xbd16aad720e3ad6db7e9ecc3cfbf27b9f2bfe866,78,6,15,42,2023-07-21,2024-04-09,12596.486953014004,66,190.8558629244546
0xd12253cf9bb7c1b11f811186ede3bae79c82ae89,78,6,15,40,2023-07-19,2024-04-14,12767.781308627002,66,193.45123194889396
0x1383e8c8afa8c47101c31dcd6f46bf2486515be3,80,5,14,40,2023-07-21,2024-04-15,12800.996508783996,68,188.24994865858818
0xd6180b8f549499ad433a278bcd87eb8c55fce9a8,79,5,13,40,2023-07-19,2024-04-15,13031.700840341002,68,191.64265941677945
0xe1136f97919ee8183ae4986a99e7780fb697ff8c,79,5,13,40,2023-07-19,2024-04-15,12865.281302690997,68,189.1953132748676
0x07a596e9c8dff114954286b19ae9a9530168c124,77,6,15,41,2023-07-21,2024-04-11,12747.089436722,64,199.17327244878126
0x0ecc615137b06ecf8b16efa2910814a6d7f22470,76,6,15,41,2023-07-21,2024-04-08,12416.602192202996,63,197.08892368576184
0x6e5cdfa905934aff2d7c19b331a5e3914dfd2a55,75,6,14,38,2023-07-18,2024-04-16,12948.490066832,63,205.53158836241272
0x104aad889ae3c971b573c1f54894e7e5fb17b84c,80,6,15,39,2023-07-19,2024-04-16,12950.431472682,67,193.29002198032836
0xb663d56ecee040977c7a387e82fc3edf8387027b,77,6,14,41,2023-07-21,2024-04-11,12617.086055079999,64,197.14196961062498
0xab803508a6d24341752c58f321ac685818e10151,81,5,14,40,2023-07-19,2024-04-16,12942.907736466004,68,190.33687847744125
0x30b5f68e889331efcd7f97a60bd8776522bcbd47,80,6,14,40,2023-07-19,2024-04-16,12782.829365650005,68,187.98278478897066
0x4b47845784fdcd35874f4e4cd955a620bdf18ae2,78,5,14,42,2023-07-21,2024-04-10,12742.377591350005,66,193.06632714166673
0x4e246073b6d4bdaf362526b1ff6f1d80137f59fa,77,6,15,41,2023-07-21,2024-04-11,12719.603225870997,64,198.74380040423432
